linetype	fill	colour	xmin	xmax	ymin	ymax	key	showSelectedlegendlinetype	showSelectedlegendfill	showSelected.variable	showSelected.value	showSelected2	PANEL
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	99	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	1877	10037	xgboost 1 negative	error	negative	xgboost	99	xgboost	1
1	#4D4D4D	#0000FF	0.5	1.5	0	0	xgboost 1 positive	error	positive	xgboost	100	xgboost	1
1	#B3B3B3	#0000FF	0.5	1.5	1835	10037	xgboost 1 negative	error	negative	xgboost	100	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	1820	xgboost 2 positive	error	positive	xgboost	0	xgboost	1
1	#B3B3B3	#0000FF	1.5	2.5	10037	10037	xgboost 2 negative	error	negative	xgboost	0	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	1458	xgboost 2 positive	error	positive	xgboost	1	xgboost	1
1	#B3B3B3	#0000FF	1.5	2.5	9914	10037	xgboost 2 negative	error	negative	xgboost	1	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	1285	xgboost 2 positive	error	positive	xgboost	2	xgboost	1
1	#B3B3B3	#0000FF	1.5	2.5	9832	10037	xgboost 2 negative	error	negative	xgboost	2	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	1165	xgboost 2 positive	error	positive	xgboost	3	xgboost	1
1	#B3B3B3	#0000FF	1.5	2.5	9750	10037	xgboost 2 negative	error	negative	xgboost	3	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	1066	xgboost 2 positive	error	positive	xgboost	4	xgboost	1
1	#B3B3B3	#0000FF	1.5	2.5	9668	10037	xgboost 2 negative	error	negative	xgboost	4	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	975	xgboost 2 positive	error	positive	xgboost	5	xgboost	1
1	#B3B3B3	#0000FF	1.5	2.5	9586	10037	xgboost 2 negative	error	negative	xgboost	5	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	913	xgboost 2 positive	error	positive	xgboost	6	xgboost	1
1	#B3B3B3	#0000FF	1.5	2.5	9503	10037	xgboost 2 negative	error	negative	xgboost	6	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	836	xgboost 2 positive	error	positive	xgboost	7	xgboost	1
1	#B3B3B3	#0000FF	1.5	2.5	9421	10037	xgboost 2 negative	error	negative	xgboost	7	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	762	xgboost 2 positive	error	positive	xgboost	8	xgboost	1
1	#B3B3B3	#0000FF	1.5	2.5	9339	10037	xgboost 2 negative	error	negative	xgboost	8	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	704	xgboost 2 positive	error	positive	xgboost	9	xgboost	1
1	#B3B3B3	#0000FF	1.5	2.5	9257	10037	xgboost 2 negative	error	negative	xgboost	9	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	650	xgboost 2 positive	error	positive	xgboost	10	xgboost	1
1	#B3B3B3	#0000FF	1.5	2.5	9175	10037	xgboost 2 negative	error	negative	xgboost	10	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	605	xgboost 2 positive	error	positive	xgboost	11	xgboost	1
1	#B3B3B3	#0000FF	1.5	2.5	9093	10037	xgboost 2 negative	error	negative	xgboost	11	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	556	xgboost 2 positive	error	positive	xgboost	12	xgboost	1
1	#B3B3B3	#0000FF	1.5	2.5	9010	10037	xgboost 2 negative	error	negative	xgboost	12	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	528	xgboost 2 positive	error	positive	xgboost	13	xgboost	1
1	#B3B3B3	#0000FF	1.5	2.5	8928	10037	xgboost 2 negative	error	negative	xgboost	13	xgboost	1
1	#4D4D4D	#0000FF	1.5	2.5	0	495	xgboost 2 positive	error	positive	xgboost	14	xgboost	1
